",""Овны"",""Тельцы"",""Близнецы"",""Рак"",""Лев"",""Дева"",""Весы"",""Скорпион"",""Стрелец"",""Козерог"",""Водолей"",""Рыбы"",""date""";;;;
"27,"". 27 апреля. <U+2728>Овнам порой хочется поднять глаза к небу и спросить...:""""Ты издеваешься надо мной?!""""<U+2649><U+FE0F> "","". 27 апреля. <U+2728>Тельцы, научитесь обижаться на людей, а то вы слишком быстро всех прощаете, а потом наступаете на те же грабли.<U+264A><U+FE0F>"","". 27 апреля. <U+2728>Близнецов ждет приятная неожиданность. Давно пора, эти очаровашки заслуживают гораздо большего!<U+264B><U+FE0F> Рак. 27 апреля. <U+2728>Как мало "",""у для счастья надо — немного ласки, пары слов, Простого любящего взгляда и на ночь фразы «Сладких снов»…<U+264C><U+FE0F>"","". 27 апреля. <U+2728>Человек который отказался от вас или сделал вам больно будет офигевать от чувства вины и от чувства того какой же он все-таки лох что так поступил. И это хорошо. Но вам уже по фиг, у вас свои дела.<U+264D><U+FE0F>"","". 27 апреля. <U+2728>В мире много хороших людей, но Девы всегда общаются с чокнутыми, с ними интересней..<U+264E><U+FE0F>Весы. 27 апреля. <U+2728>"","", вам надо начать всё с белого листа..<U+264F><U+FE0F>Скорпион. 27 апреля. <U+2728>"",""ы, запомните. Человек, которому вы на самом деле нужны, никогда вас не отпустит. и не важно, насколько тяжела ситуация.<U+2650><U+FE0F>"","". 27 апреля. <U+2728>Счастье для Стрельца — это много путешествовать, вкусно есть и спать с любимым человеком..<U+2651><U+FE0F>"","". 27 апреля. <U+2728>Не смотря на то, что у всех слюни на вас текут - ваше сердце принадлежит одному человеку!<U+2652><U+FE0F>"","". 27 апреля. <U+2728>Водолеям порой очень хочется обнять человека, вместо того, чтобы писать ему сообщения в интернете.<U+2653><U+FE0F>Рыбы. 27 апреля. <U+2728>"","" — май станет для Вас месяцем любви и дикой необузданной страсти, которая бешеным цунами накроет Вас с головой.. Это будет офигительный месяц!))@moygoroskop <U+262F><U+FE0F>"",""27 апреля""";;;;
"28,"". 28 апреля. <U+2728>Отказавшись от Овна однажды, больше не смейте лезть в Его жизнь никогда..<U+2649><U+FE0F>"","". 28 апреля. <U+2728>Прежде чем осуждать Тельца, возьмите Его обувь и пройдите Его путь, попробуйте Его слезы, почувствуйте Его боль, наткнитесь на каждый камень, о который Он споткнулся. И только после этого говорите, что Вы знаете, как правильно жить.<U+264A><U+FE0F>Близнецы. 28 апреля. <U+2728>Как говорят """"Cлучайных встреч не бывает... Это или испытание... или наказание… или подарок судьбы... "","" испытание и наказание уже у вас было Теперь вас ждет подарок судьбы..<U+264B><U+FE0F>Рак. 28 апреля. <U+2728>Да, хоть "",""и порою и вспыльчивы, но они не умеют долго обижаться.. Особенно на тех, кого любят.. Ну, вот такие они..))<U+264C><U+FE0F>"","". 28 апреля. <U+2728>В голове у Льва каша, и не ясно что дальше, вроде всё нормально, но уже не так как раньше..<U+264D><U+FE0F>"","". 28 апреля. <U+2728>Дев уже достали все эти глупые переписки в контакте и любовь на расстоянии.. Девы хотят реального общения.. Девы хотят реальных чувств..<U+264E><U+FE0F>Весы. 28 апреля. <U+2728>"","" не могут полюбить никого другого, если в их сердце уже кто-то живет.. Вот такие они.. Ничего не поделаешь..<U+264F><U+FE0F>Скорпион. 28 апреля. <U+2728>Когда-то в детстве "",""у говорили, что он очень милый, хороший и добрый ребенок.. Сглазили, сволочи..<U+2650><U+FE0F>"","". 28 апреля. <U+2728>Стрельцы у вас теперь все будет хорошо<U+2651><U+FE0F> Козерог. 28 апреля. <U+2728>"",""и, наверное, старомодны — они ценят в людях их истинную душу, а не толщину кошелька и дешевые понты..<U+2652><U+FE0F>"","". 28 апреля. <U+2728>Водолеи привыкли не показывать эмоции. на лице улыбка, а внутри все рвется.<U+2653><U+FE0F>"","". 28 апреля. <U+2728>Кто-то однажды сказал, что время лечит. Время не лечит. Рыб лечит тот, кто обнимает их с каждым разом всё крепче.@moygoroskop <U+262F><U+FE0F>"",""28 апреля""";;;;
"29,"". 29 апреля. <U+2728>Овны ребята не злые, но, если Их спровоцировать, то БЕГИТЕ ГЛУПЦЫ, БЕГИТЕ!!! ИБО ПОЩАДЫ НЕ БУДЕТ НИКОМУ!!!<U+2649><U+FE0F>Телец . 29 апреля. <U+2728>"","" очень требователен и строг в выборе друзей.. Он не дружит абы с кем и за километр обходит лгунов и предателей.. Поэтому друзья у Тельца — ЛУЧШИЕ!<U+264A><U+FE0F>"","". 29 апреля. <U+2728>Те, кому с Близнецом трудно, и те, кто осуждает Его - не мучьте себя.. Отдалитесь и никогда больше не трогайте Близнеца..<U+264B><U+FE0F>Рак. 29 апреля. <U+2728>"",""и — Вас ждет предложение от которого Вы не сможете отказаться! Ваша жизнь никогда больше не станет прежней. Вы счастливчики. :)<U+264C><U+FE0F>Лев. 29 апреля. <U+2728>Самое главное для Льва, чтобы любимые были рядом и дарили Ему свою любовь и поддержку.. Когда "","" чувствует, что ЕГО ЛЮБЯТ, то ему любое море по-колено!<U+264D><U+FE0F>"","". 29 апреля. <U+2728>Человек, который не умеет держать слово, никогда не сумеет удержать Дев.. Дев бесят вруны..<U+264E><U+FE0F>Весы. 29 апреля. <U+2728>Весы не хотят ни работать, ни учиться — "","" хотят пятницу, выходные и винишка..<U+264F><U+FE0F>Скорпион. 29 апреля. <U+2728>Хотите нормальных отношений со "",""ом — НЕ ВРИТЕ! Просто не врите.. НИКОГДА!!!<U+2650><U+FE0F>"","". 29 апреля. <U+2728>Стрельцы и верность - это слова синонимы. Когда Стрельцы любят, то верны только одному человеку. На остальных Им даже смотреть противно.<U+2651><U+FE0F>Козерог. 29 апреля. <U+2728>Козероги не любят, когда люди начинают всю усложнять и строить из себя непонятно что.. "",""и любят, когда просто, понятно, душевно и взаимно..<U+2652><U+FE0F>"","". 29 апреля. <U+2728> Водолея ждут большие перемены, Останутся в прошлом все проблемы! А впереди лишь позитив и счастье! И это счастье будет очень частым!<U+2653><U+FE0F> Рыбы. 29 апреля. <U+2728>"","" просто хотят быть любимыми, Чтоб Их ценили, понимали, обожали, И чтоб ЛЮБОВЬ была красивою и сильною! И чтоб внутри сгорели все печали.@moygoroskop <U+262F><U+FE0F>"",""29 апреля""";;;;
"30,"". 30 апреля. <U+2728>Овны, очень скоро ваша мечта осуществится..бьт<U+2649><U+FE0F>"","". 30 апреля. <U+2728>Тельцы уже не скучают по прошлому, они боятся потерять настоящее!<U+264A><U+FE0F>Близнецы. 30 апреля. <U+2728>"","", сегодня в вашей жизни случиться что-то хорошее! Это будет самый лучший день в вашей жизни!<U+264B><U+FE0F>Рак. 30 апреля. <U+2728>"",""и, очень скоро ваша мечта осуществится..<U+264C><U+FE0F>"","". 30 апреля. <U+2728>Вас ждет такое счастье! Такого вы даже представить не можете!<U+264D><U+FE0F>"","". 30 апреля. <U+2728>У Дев есть человек, которого нет рядом, но он очень дорог. И какая-то часть их всегда будет принадлежать только ему.<U+264E><U+FE0F>Весы. 30 апреля. <U+2728>Да, пусть "","" такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..<U+264F><U+FE0F>Скорпион. 30 апреля. <U+2728>А "",""ы будут счастливы, всем вам назло...<U+2650><U+FE0F> "","". 30 апреля. <U+2728>Стрельцов ждет сумасшедшая любовь!<U+2651><U+FE0F>Козерог. 30 апреля. <U+2728>Да, пусть "",""и такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..<U+2652><U+FE0F>"","". 30 апреля. <U+2728>Водолеи ревнуют - тихо, обижаются - молча, целуются - нежно, обнимаются - сильно, любят - всей душой!<U+2653><U+FE0F>Рыбы. 30 апреля. <U+2728>"","" живут для тех, кому нужны, дружат лишь с теми, в ком уверены, общаются с теми, кто приятен, и благодарны всем, кто ценит!@moygoroskop <U+262F><U+FE0F>"",""30 апреля""";;;;
"31,"". 1 мая. <U+2728>Овны — сегодня будет просто невероятный день.. Это будет самый лучший месяц в Вашей жизни.. С этого дня очень многое в Вашей жизни изменится..<U+2649><U+FE0F>"","". 1 мая. <U+2728>Тельцы — сегодня вечером кто-то Вам напишет и предложит что-то такое от чего Вы не сможете отказаться.. Ммммммм, Тельцы..))<U+264A><U+FE0F>Близнецы. 1 мая. <U+2728>"","" — как раньше уже не будет.. Май станет для Вас стартом больших перемен, которые начнутся уже с завтрашнего дня..<U+264B><U+FE0F>Рак. 1 мая. <U+2728>"",""и — человек от которого Вы без ума, сделает для Вас кое-что приятное и заставит Ваше сердце биться чаще..<U+264C><U+FE0F>"","". 1 мая. <U+2728>Львы — Вы заслужили на счастье.. Оно уже не за горами.. Уже совсем скоро, Львы..<U+264D><U+FE0F>Дева. 1 мая. <U+2728>Люди, если хотите, чтобы сегодняшний день был волшебным и незабываемым — проведите Его с "",""ми.. Девы принесут Вам удачу..<U+264E><U+FE0F>"","". 1 мая. <U+2728>Весам плевать на то, кто и что о Них подумает.. Самое главное, что рядом с Ними всегда есть люди, которые всегда их выслушают, поймут, поддержат и согреют своим душевным теплом..<U+264F><U+FE0F>Скорпион. 1 мая. <U+2728>"",""ы — иногда так бывает, что люди уходят.. Но, не переживайте — от Вас уйдут только те, кто Вам не нужен.. Те, кто тянет из Вас энергию, портит Вам настроение и говорят у Вас за спиной.. Вы будете рады такой потере..))<U+2650><U+FE0F>"","". 1 мая. <U+2728>Стрельцы — в конечном итоге все будет по-Вашему. Поэтому не волнуйтесь, а просто чуть-чуть подождите..))<U+2651><U+FE0F>Козерог. 1 мая. <U+2728>"",""и — это будет очень насыщенная неделя.. Вас ждут куча интересных приключений, новостей, дел, знакомств и.. бухлишка..<U+2652><U+FE0F>"","". 1 мая. <U+2728>Водолеи — с минуты на минуту с Вами случится что-то очень позитивное.. И случится очень внезапно!!!<U+2653><U+FE0F>Рыбы. 1 мая. <U+2728>"","" — это будет сказочная неделя.. Все Ваши проблемы, которые вот уже долгие месяцы не давали Вам покоя — разрулятся сами собой..@moygoroskop <U+262F><U+FE0F>"",""1 мая""";;;;
"32,"" ведется на душевное тепло, любовь и доброту..<U+2649><U+FE0F>"","". 2 мая. <U+2728>У Тельцов нет времени следить за чужой жизнью.. Они за своей иногда не успевают..<U+264A><U+FE0F>"","". 2 мая. <U+2728>Близнец любит за душу и за честность, За красоту души и позитив! Он верит в ту любовь, что длится вечность! И ценит всех, кто откровенен и правдив!<U+264B><U+FE0F>Рак. 2 мая. <U+2728>О, как же Рака бесят те, кто учит Его жизни, хотя сами в этой жизни вообще ни фига не добились.. "","" никогда не понимал таких людей..<U+264C><U+FE0F>"","". 2 мая. <U+2728>Львам уже всё ясно с прошедшим а апрелем.. И с маем тоже.. Львы уже хотят лето — ласковое, солнечное, счастливое..<U+264D><U+FE0F> "","". 2 мая. <U+2728>У Дев страшная аллергия. И похоже, что возбудители этой аллергии — это учеба и работа. Эти аллергены нужно срочно устранить и пройти небольшой курс лечения винишком, общением с друзьями и шашлычками.<U+264E><U+FE0F> Весы. 2 мая. <U+2728>"","", словно от огня бегут от тех людей, которые лгут и предают. И, если Вы один из таких людей, то у Вас нет ни малейшего шанса на какие-бы то ни было отношения с Весами..<U+264F><U+FE0F> Скорпион. 2 мая. <U+2728>Скорпиону не нужны красивые слова, обещания и прочая чушь.. Скорпиону нужны понимание, душевное тепло, ласка и нежность.. "",""у нужен такой человек, который понимал бы Его и без слов..<U+2650><U+FE0F> Стрелец. 2 мая. <U+2728>Да, Стрелец ревнивый и не боится в этом признаться. Потому что "","" не умеет иначе. Ведь когда любишь ПО-НАСТОЯЩЕМУ, то невозможно не ревновать!!!<U+2651><U+FE0F> Козерог. 2 мая. <U+2728>"",""ов заменить никем нельзя, Они одни такие искренние, честные. Их нужно обожать, любить всегда, С Ними тепло, прикольно, интересно!<U+2652><U+FE0F> "","". 2 мая. <U+2728>Для того, чтобы поднять настроение Водолеям нужно совсем не много — несколько бокальчиков вина, расслабляющий массаж, выходные и пару тысяч баксов. :)<U+2653><U+FE0F> Рыбы. 2 мая. <U+2728>"","" — кто-то сделает для Вас что-то безумно приятное! Это будет волшебно и Вы захотите еще! :)@moygoroskop <U+262F><U+FE0F>"",""2 мая""";;;;
"33,"". 3 маяВ этот день увеличится доля ложной информации, которую будет непросто распознать, и, руководствуясь которой, вы рискуете наделать ошибок.<U+2649><U+FE0F> "","". 3 маяТельцу захочется получить вознаграждение за свой труд, а шеф упорно не замечает вашей персоны. Не нужно действовать намеками и, тем более, смущаться.<U+264A><U+FE0F> "","". 3 маяДень символизирует переоценку ценностей. Состоявшиеся люди, сумевшие понять суть работы и смысл своего существования, определенно добьются больших успехов.<U+264B><U+FE0F> "","". 3 маяОтличный денек для прогулки по магазинам, качественные вещи по прекрасной цене сами будут идти к вам в руки.<U+264C><U+FE0F> "","". 3 маяНаметьте приоритеты и правильно распределите свое время. В данный день не следует давать и брать деньги взаймы, особенно если речь идет о финансовых взаиморасчетах с друзьями.<U+264D><U+FE0F> Дева. 3 мая"","" приятно удивит не только коллег, но и начальство. Оказывается, у вас столько нераскрывшихся талантов, что со счета собьешься.<U+264E><U+FE0F> "","". 3 маяВ этот и в ближайшие дни не стоит отправляться в путешествие. Это предприятие доставит не столько удовольствие, сколько проблемы.<U+264F><U+FE0F> Скорпион. 3 мая"",""ы будут вызывать неподдельный интерес у противоположного пола, воспользуйтесь этим правильно.<U+2650><U+FE0F>"","". 3 маяВ решении любых вопросов действуйте не спеша, не привлекая к своим делам излишнего постороннего внимания. В этом случае вам никто не сможет помешать реализовать свои намерения.<U+2651><U+FE0F> Козерог. 3 мая"",""у ничего не придется планировать, чтобы выполнить работу качественно и в срок. Ситуация сложится так, что вам не только помогут, но и заплатят за проект высокую сумму.<U+2652><U+FE0F> "","". 3 маяВ любви не прекращается поиск идеала. Есть большая вероятность, что любовные отношения будут укрепляться еще и крепчайшими узами истинной дружбы.<U+2653><U+FE0F> Рыбы. 3 маяРыбы, если захочется сойти с ума, сходите на здоровье, только подберите себе компанию искренних людей. "","" не должны принимать предложений от противоположного пола.@moygoroskop <U+262F><U+FE0F>"",""3 мая""";;;;
"34,"". 4 мая. <U+2728>Овнов обижать не надо... У них разгон от милой зайки до жуткой стервы 1,5 секунды<U+2649><U+FE0F>"","". 4 мая. <U+2728>Тельцам так надоело терять людей!";" Им нужен тот, кто придет в их жизнь и скажет: 'Хочешь, не хочешь, а я остаюсь''<U+264A><U+FE0F>Близнецы. 4 мая. <U+2728>"","" попробуйте не любить никого, и вы будете нравиться всем. Посылайте к чёрту всех, и вами будут восхищаться. Всё просто - люди не ценят хорошего отношения.<U+264B><U+FE0F>Рак. 4 мая. <U+2728>"",""и это у вас не черная полоса, а взлетная.<U+264C><U+FE0F>"","". 4 мая. <U+2728>Девиз Львов по жизни: """"пипец конечно, но погнали""""<U+264D><U+FE0F>"","". 4 мая. <U+2728>Слишком сильные, слишком вредные, слишком гордые. Если кто искал такую проблему на свою голову, обращайтесь. Девы еще готовить умеют.<U+264E><U+FE0F>Весы. 4 мая. <U+2728>Да, пусть "","" такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..<U+264F><U+FE0F>Скорпион. 4 мая. <U+2728>А "",""ы будут счастливы, всем вам назло...<U+2650><U+FE0F>"","". 4 мая. <U+2728>Стрельцов нельзя заменить! Никем и никогда!<U+2651><U+FE0F>"","". 4 мая. <U+2728>Не смотря на то, что у всех слюни на вас текут - ваше сердце принадлежит одному человеку!<U+2652><U+FE0F>"","". 4 мая. <U+2728>Водолеев ждут долгие отношения<U+2653><U+FE0F>"","". 4 мая. <U+2728>В попу эту любовь, короче.@moygoroskop <U+262F><U+FE0F>"",""4 мая""";;;
"35,"". 5 мая. <U+2728>Овны — Вы понимаете друг друга с полуслова. Вы отличная пара!<U+2649><U+FE0F>"","". 5 мая. <U+2728>Тельцы — Вас ждет офигительное свидание с классным человеком! Вы сведете с ума друг друга!<U+264A><U+FE0F>"","". 5 мая. <U+2728>У Близнецов очень сильно меняется характер. Их уже не тянет к людям, без которых они когда-то не представлял свою жизнь. Их раздражают многие их """"бывшие"""" друзья. Им не интересно общаться с теми, кого они считал интересными людьми раньше. Их круг общения сузился, и это их радует, потому что они лучше стал разбираться в людях и понимать, кто родной, а кто послан для опыта.<U+264B><U+FE0F>Рак. 5 мая. <U+2728>"",""и хотят, чтобы кто-то взял их с собой на шашлыки..<U+264C><U+FE0F>"","". 5 мая. <U+2728>Львы в вас кто-то сильно влюбился, но этот человек боится признаться в своих чувствах! Вам он тоже, безумно нравится.<U+264D><U+FE0F>"","". 5 мая. <U+2728>Девы — Ваш оптимизм, чувство юмора и улыбка принесут Вам успех!<U+264E><U+FE0F>Весы. 5 мая. <U+2728>"","" — в дружбе и любви у Вас все будет ровно, гладко и четко! А финансовые дела, так вообще попрут в гору!<U+264F><U+FE0F>Скорпион. 5 мая. <U+2728>"",""ы — сегодня возможно все что угодно.. Все зависит от Ваших мыслей.. Старайтесь думать исключительно о хорошем..<U+2650><U+FE0F>"","". 5 мая. <U+2728>Стрельцы — кто-то подарит Вам неземное удовольствие.. Вы будете на 10-м небе от счастья.<U+2651><U+FE0F>"","". 5 мая. <U+2728>Вы просто идеально созданы друг для друга! Счастливое будущее Вам обеспечено!<U+2652><U+FE0F>"","". 5 мая. <U+2728>Водолеи просто хотят, чтобы люди рядом с Ними были чуточку искренней, честнее и открытей..<U+2653><U+FE0F>Рыбы. 5 мая. <U+2728>Рыб очень бесит то, что большинство людей интересует лишь внешность и статус в обществе.. Как бы это банально не звучало, но "","" хотят, чтобы Их любили за душу и внутренний мир..@moygoroskop <U+262F><U+FE0F>"",""5 мая""";;;;
"36,"". 6 мая. <U+2728>Блин, Овны.. Не грустите.. Вам срочно нужны душевное тепло, крепкие объятья и немножко вискарика для дезинфекции сердечных ран..<U+2649><U+FE0F>"","". 6 мая. <U+2728>Тельцы – не переживайте, у Вас все получится, Вы быстро порешаете все свои дела, а вечером Вас ожидает отдых с близкими людьми и маааааленький сюрпризик от очень приятного Вам лица противоположного пола..<U+264A><U+FE0F>Близнецы. 6 мая. <U+2728>"","" — люди приходят и уходят, не привязывайтесь ко всем подряд. Главное смотреть, кто остается.. А остаются обычно единицы, но эти единицы — это действительно те, кто по-настоящему Вас любит и дорожит Вами..<U+264B><U+FE0F>Рак. 6 мая. <U+2728>"",""и — кто-то Вас ревнует, пипец как ревнует, прям головой об стену бъеться.. и правильно делает..<U+264C><U+FE0F>"","". 6 мая. <U+2728>Будьте проще со Львами, и Львы к Вам потянутся. Львы не любят зацикленных на себе людей. Если хотите дружить со Львами, то просто будьте собой — добрым и искренним, а не тупым ублюдком на понтах..<U+264D><U+FE0F>"","". 6 мая. <U+2728>Девы хотят, чтобы кто-то их крепко-крепко обнял, прижал к себе и никогда не отпускал..<U+264E><U+FE0F>"","". 6 мая. <U+2728>Вы слишком сильно привязываетесь к людям.. Это Ваша большая ошибка, ведь не все люди этого достойны..<U+264F><U+FE0F>Скорпион. 6 мая. <U+2728>Сегодня офигенно классный день для того, чтобы открыто признаться Скорпионам в своих чувствах.. Поэтому, если Вы любите "",""ов или хотели бы иметь с ними теплые отношения — не тупите..<U+2650><U+FE0F>"","". 6 мая. <U+2728>Если ты сейчас читаешь этот пост на стенке Стрельца, знай — он сейчас очень нуждается в твоем внимании, душевном тепле и любви.. Напиши Стрельцу, что-нибудь приятное, вытяни его на чашечку кофе или просто погулять.. Он очень ждет этого..<U+2651><U+FE0F>Козерог. 6 мая. <U+2728>"",""и — сегодня Вам срочно, как никогда нужны крепкие и теплые объятья.. Вечером ждите приятный сюрприз от очень приятного Вам человека.. Вы очень удивитесь..<U+2652><U+FE0F>"","". 6 мая. <U+2728>У Водолеев обострение, они словно сойдут с ума и будут искать жертву, для того, чтобы совершить ВЛЮБИЙСТВО!))<U+2653><U+FE0F>"","". 6 мая. <U+2728>У Рыб на лице улыбка, они всегда вежливы, красивы, привлекательны и общительны, но никто никогда не узнает, что же на самом деле у них на душе.. Никто.. Разве что оооооочень близкий и родной человек.. Ооооочень близкий.. Ооооооочень родной..@moygoroskop <U+262F><U+FE0F>"",""6 мая""";;;;
"37,"". 7 мая. <U+2728>Овнам очень часто хочется иметь каменное сердце и быть бесчувственной скотиной. Не чувствовать ничего - ни любви, ни разочарования, ни привязанности. Так намного легче.<U+2649><U+FE0F>"","". 7 мая. <U+2728>Довести Тельцов до слез, наверное, каждому по силам. А сделать так, чтобы от радости глаза сияли, могут лишь единицы.<U+264A><U+FE0F>Близнецы. 7 мая. <U+2728>"","" живите для тех, кому нужны. Дружите с теми, в ком уверены. Общайтесь с теми, кто приятен. И благодарите тех, кто ценит.<U+264B><U+FE0F>Рак. 7 мая. <U+2728>"",""и Осторожно! Двери прошлого закрываются! Следующая остановка... «Счастливая жизнь»!<U+264C><U+FE0F>"","". 7 мая. <U+2728>Даже железному терпению Львов, приходит конец. И даже самые сильные их чувства умирают от вранья и безразличия.<U+264D><U+FE0F>"","". 7 мая. <U+2728>Девы, никогда ни о чем не жалейте, потому что в определенный момент это было именно то, что вы хотели.<U+264E><U+FE0F>"","". 7 мая. <U+2728>Цветы… Конфеты… Кино… Рестораны… — это не счастье, поверьте… Счастье — это просто прижаться к тому, кто очень дорог и кого ты любишь<U+264F><U+FE0F>Скорпион. 7 мая. <U+2728>"",""ы всегда рискуйте в пользу будущего. Каким бы заманчивым не было прошлое, не возвращайтесь в него. Пошло оно на фиг.<U+2650><U+FE0F>"","". 7 мая. <U+2728>Люди, умейте признаваться Стрельцам, что вы соскучились, иногда это действительно важно…<U+2651><U+FE0F>Козерог. 7 мая. <U+2728>"",""и, если вы не верите в чудо, то это вы зря. В себя нужно верить!<U+2652><U+FE0F> "","". 7 мая. <U+2728>Водолеи молча делают выводы и постепенно отдаляются.<U+2653><U+FE0F>Рыбы. 7 мая. <U+2728>"","", вам нужно просто подождать. Для некоторых событий ещё не наступило время.@moygoroskop <U+262F><U+FE0F>"",""7 мая""";;;;
"38,"". 8 мая. <U+2728>У Овна так быстро меняется настроение, что Он сам за ним не успевает. Уже не любит, но ещё ревнует. Уже простил, но ещё ругается.<U+2649><U+FE0F>Телец. 8 мая. <U+2728>"","" не изменяет, но флиртует. Он не врет, но бывает недоговаривает. Он не ревнивый, просто Он привык быть единственным и неповторимым..<U+264A><U+FE0F>Близнецы. 8 мая. <U+2728>"","" — Вы стали для кого-то смыслом жизни.. Этот человек теперь не представляет своей судьбы без Вас..<U+264B><U+FE0F>Рак. 8 мая. <U+2728>Прежде, чем говорить "",""у, что Он плохой, подумайте, что заставило Его не быть хорошим по отношению к Вам..<U+264C><U+FE0F>"","". 8 мая. <U+2728>Да, Львы слушают людей, но уже не верят.. Ведь красиво говорить сейчас умеет каждый — Львам этого мало.. Львы верят только в дела и поступки..<U+264D><U+FE0F>"","". 8 мая. <U+2728>Девы — хватит, доброта это хорошо, но хватит.. Вы должны поступать с людьми так, как и они с Вами!<U+264E><U+FE0F>"","". 8 мая. <U+2728>Коротко о Весах: не ждут, не просят, не оглядываются, не навязываются, в душу не пускают, """"что скажут люди"""" не признают, проблемы решают по мере их поступления, уходят без истерик и объяснений..<U+264F><U+FE0F>Скорпион. 8 мая. <U+2728>Слишком сильные, слишком вредные, слишком гордые. Если кто искал такую проблему на свою голову, обращайтесь. "",""ы еще готовить умеют.<U+2650><U+FE0F>"","". 8 мая. <U+2728>Стрельцы никогда не считали себя слабыми. Если бы Они были слабыми, они бы не справилась с тем, что пережили..<U+2651><U+FE0F> Козерог. 8 мая. <U+2728>Люди, запомните, никогда не обманывайте Козерога — он ненавидит ложь.. Обманывая "",""а — рискуете потерять Его навсегда..<U+2652><U+FE0F> Водолей. 8 мая. <U+2728>"","" — как эхо. Как ты с Ним обращаешься, так Он и отзывается.<U+2653><U+FE0F>Рыбы. 8 мая. <U+2728>Иногда "","" смотрят на некоторых людей и думают: """"Мдаааа, ронял Вас аист по дороге! И похоже не раз..""""@moygoroskop <U+262F><U+FE0F>"",""8 мая""";;;;
"39,"". 9 мая. <U+2728>Жаль, что время не вернуть назад, Овнам хотелось бы многое изменить.<U+2649><U+FE0F>"","". 9 мая. <U+2728>Тельцы сдержать могут все... Слезы... Злость... Боль... Любовь... Но смех сдержать невозможно!<U+264A><U+FE0F>Близнецы. 9 мая. <U+2728>Вообще-то, "","", очень приличные! Но иногда ругаются матом! Потому,что мат,он как Рафаэлло - вместо тысячи слов<U+264B><U+FE0F> Рак. 9 мая. <U+2728>"",""ам нужно чтобы рядом всегда был человек, который скажет: да по фиг, я б тоже так сделал.<U+264C><U+FE0F>"","". 9 мая. <U+2728>Львы не матерятся, а всего лишь употребляют ненормативную лексику в целях более полного и лаконичного выражения своих эмоций. Вот!<U+264D><U+FE0F>"","". 9 мая. <U+2728>Болезни Девы юмором лечат, живут себе не охая... Проблемы были им по плечи, теперь вообще все по фигу!<U+264E><U+FE0F>Весы. 9 мая. <U+2728>"","" если вы злитесь на обидчиков, знайте - ваши нервы прекрасно успокоят мята и ромашка. Которые прорастут на могилах этих уродов.<U+264F><U+FE0F>Скорпион. 9 мая. <U+2728>"",""ы достаточно скромные и воспитанные люди. Но разговаривать приходится так, словно у них две судимости.<U+2650><U+FE0F>"","". 9 мая. <U+2728>Стрельцам сидеть надоело, лежать надоело, песни надоели, тишина надоела, на улицу не хочется, дома сидеть не хочется... душа требует чего-то нового и одновременно ей ничего не нужно.<U+2651><U+FE0F>Козерог. 9 мая. <U+2728>"",""и в любой ситуации говорите """"все идет по плану"""" - мало ли какой дурацкий у вас план!<U+2652><U+FE0F> "","". 9 мая. <U+2728>У Водолеев всё когда-нибудь заканчивается: терпение, нервы, патроны...<U+2653><U+FE0F>"","". 9 мая. <U+2728>Настроение: хочется немножко душевного тепла и три миллиарда долларов.@moygoroskop <U+262F><U+FE0F>"",""9 мая""";;;;
"40,"". 10 мая. <U+2728>Овны у вас теперь все будет хорошо. Это точно!<U+2649><U+FE0F>"","". 10 мая. <U+2728>Кто-то не дорожил отношениями с вами, а теперь плачет, смотря на ваше фото...<U+264A><U+FE0F>"","". 10 мая. <U+2728>Этот день очень круто изменит жизнь Близнецов.. В лучшую сторону..<U+264A><U+FE0F>"","". 10 мая. <U+2728>От судьбы не уйдешь, и те люди, которые должны быть в Вашей жизни, всё равно в ней будут, даже если Вам сейчас кажется, что вы уже никогда не будете общаться.<U+264B><U+FE0F>"","". 10 мая. <U+2728>Львы, этот май будет просто незабываем! Готовьтесь, сказка начинается!<U+264D><U+FE0F>"","". 10 мая. <U+2728>Девы — эта неделя будет безумно насыщенной и интересной! Скучно не будет, уж поверьте!<U+264E><U+FE0F>"","". 10 мая. <U+2728>У Весов кого-то рядом нет, но он, в мыслях постоянно!<U+264F><U+FE0F>Скорпион. 10 мая. <U+2728>"",""ы — эта неделя станет для Вас неделей дикого кайфа, любви и наслаждения.. Мррррр..<U+2650><U+FE0F>"","". 10 мая. <U+2728>Стрельцы — на этой неделе наконец-то осуществится одно из Ваших самых больших желаний.. Вы заслужили..<U+2651><U+FE0F>Козерог. 10 мая. <U+2728>Люди, пока не стало поздно, говорите "",""ам то, что чувствуете.<U+2652><U+FE0F>"","". 10 мая. <U+2728>Водолеи — эта неделя будет очень нежна и ласкова к Вам.. Удача сама будет идти к Вам в руки..<U+2653><U+FE0F>Рыбы.10 мая. <U+2728>"","" — на этой неделе Вы наконец-то решите все свои самые важные дела и наконец-то сможете вздохнуть с облегчением и по-настоящему расслабиться..@moygoroskop <U+262F><U+FE0F>"",""10 мая""";;;;
