Овны	Тельцы	Близнецы	Рак	Лев	Девы	Весы	Скорпион	Стрелец	Козерог	Водолей	Рыбы	date
" постоянно разрывается между: ""Будь добр со всеми"" и ""Нафиг всех, я никому ничего не должен!""..??"	. 22 апреля. ?Тельцы — кто-то вскружит Вам голову своей нежностью, ласками, объятиями и поцелуями..??Близнецы. 22 апреля. ?	 — судьба не дает лишних , если Вы встретились, значит так было нужно..??Рак. 22 апреля. ?	 может ждать сколько угодно. Ему всего лишь нужно знать, что не зря.??	. 22 апреля. ?Львы — не пытайтесь выяснять отношения с людьми, которые Вас разочаровали. Просто оставьте их наедине со всех их дерьмом. Пусть подумают о своем поведении.??	. 22 апреля. ?Некоторые люди даже и не догадываются, как же сильно Девы их любят.. Как думают о них по ночам.. Мечтают.. Строят иллюзии.. Эх..??Весы. 22 апреля. ?	 — кто-то хочет добиться Вашего сердца.. Этот человек будет бороться за Вас до последнего..??Скорпион. 22 апреля. ?	ы не прощают - они ждут. Либо, чтобы Вы приползли к ним обратно на коленях, либо, чтобы Вас переехал камаз.??	. 22 апреля. ?Если вы не умеете дарить Стрельцу внимание, то не удивляйтесь, когда Он обратит внимание на кого-то другого..??Козерог. 22 апреля. ?	у нужен такой маленький ангел на правом плече, который в нужный момент будет больно дергать Его за ухо и говорить: - Самое время заткнуться!??Водолей. 22 апреля. ?	 в шоке с людей, которые сидят в своих компьютерах, телефонах и интернетах, вместо того, чтобы гулять с Водолеем в зимнем парке, угощать Его кофе, и заставлять смеяться..??Рыбы. 22 апреля. ?	 никогда не будут пытаться вернуть тех, кто сам от них отказался. Они уже сделали свой выбор.@moygoroskop ??	22.04.2020
. 23 апреля. ?Овны — Вас ждет душевное тепло, Много вина и море обожания! Вам круто повезет, врагам назло! Исполнятся заветные желания!??	. 23 апреля. ?Тельцы — кто-то пригласит Вас к себе в гости и устроит Вам что-то очень романтическое и приятное..??Близнецы. 23 апреля. ?	 — Ваши любимые действительно Вас любят. Это правда. Можете даже не сомневаться. Вам круто повезло.??Рак. 23 апреля. ?Самое главное для 	а в людях — это сердечная теплота, оптимизм и хорошее чувство юмора.. Без этих трех вещей никак..??	. 23 апреля. ?Львы — через два дня в Вашей жизни начнутся очень большие позитивные перемены.. В личной жизни, в любви, на работе..??	. 23 апреля. ?Девы — кто-то постоянно думает о Вас.. Вы недавно виделись с этим человеком..??Весы. 23 апреля. ?	 — главное не волнуйтесь. Совсем скоро в Вашей жизни появится один очень хороший человек, который одним махом решит все Ваши проблемы. Даже те, которые казались Вам неразрешимыми.??Скорпион. 23 апреля. ?	ы — ждите красивых поступков от человека, который тайно влюблён в Вас..??	. 23 апреля. ?Стрельцы — Ваши даже самые смелые фантазии станут реальностью..??Козерог. 23 апреля. ?Козероги не гордые, не грубые, а уж тем более не пафосные.. Это все маска.. Просто Они не привыкли дарить свое тепло, доверие и любовь всем подряд.. 	и считают, что глупо разбазаривать сокровища своей души на кого попало..??	. 23 апреля. ?Водолеи — Вас ждет случайное знакомство с человеком, который останется в Вашей жизни навсегда и станет для Вас очень хорошим другом, а возможно и чем-то больше..??Рыбы. 23 апреля.. ?Рыбы — Вы еще так мало знакомы, но уже так много друг для друга значите.. 	 — это судьба..@moygoroskop ??	23.04.2020
 будет скучать, возможно воспоминания не будут давать Ему покоя, но, эти люди сами сделали свой выбор.. Предателям назад дороги нет..??	. 24 апреля. ?Тельцы — вся фигня будет проходить мимо, Кроме мартини, денег и интима.??	. 24 апреля. ?У Близнеца весенняя аллергия — на работу, учебу и плохих людей.. Срочно нужны лекарства — вино, друзья и шашлыки..??Рак. 24 апреля. ?	и — неделя будет супер успешной для Вас! Вы разрешите все свои дела, получите кучу интересных предложений и узнаете для себя много нового.??	. 24 апреля. ?Львы уже не те, что раньше.. Львы больше не верят людям.. Они устали от лжи, предательства, фальши и неискренности..??	. 24 апреля. ?Девы — это самый преданный и любящий знак зодиака. Когда Девы влюблены — Они верны своим избранникам до конца! И вряд ли кто-то умеет любить сильнее, чем Девы.??	. 24 апреля. ?Больше всего Весов бесит, когда кто-то Их осуждает.. Парадокс в том, что осуждают Их обычно те, кто им завидует.??Скорпион. 24 апреля. ?Скорпион — это знак, который чувствует ложь за километр. Хотите нормальных отношений со 	ом — просто не врите Ему.. НИКОГДА!!!??Стрелец. 24 апреля. ?Стрелец устал.. 	 хочет моря, любви, вина и человек 10 трудолюбивых рабов..:)??Козерог. 24 апреля. ?Если бы 	и были наркотиком, то были бы героином. Ведь вначале Они дарят дикий кайф и эйфорию, а потом вызывают жуткую зависимость..??Водолей. 24 апреля. ?Люди, если 	 обладает ангельским терпением и крепкими нервами, то это еще не значит, что их нужно испытывать! Помните это.??Рыбы. 24 апреля. ?Рыбы — это знак, который не привык просто так опускать руки. И какой бы пипец не случился в Их жизни — Они всё равно будут улыбаться и идти вперед ни смотря ни на что. Да-да, 	 такие.@moygoroskop ??	24.04.2020
. 25 апреля.  Не жалейте денег сегодня. Побалуйте себя небольшим, но приятным подарком, деликатесным ужином. С финансовой точки зрения намечаются перемены к лучшему.??	. 25 апреля. Сегодня вы имеете все шансы попасть в весьма конфликтную ситуацию. Вам понадобится немалое мужество и очень уверенный вид, чтобы выйти из нее без ощутимых потерь.??	. 25 апреля.  Сегодня внешний мир всячески постарается грубо вторгнуться в ваше уединение, испортив вам тем самым настроение на весь день. Задумайтесь, стоит ли уединяться, если в покое все равно не оставят???	. 25 апреля.   Нынче вы от души повеселитесь, сколь бы скучным не показалось начало дня. Любая дверь будет открыта для вас сегодня.??	. 25 апреля.  Рассмотрите картину происходящего в целом, и лишь потом занимайтесь разглядыванием мелких деталей. Между ситуацией на работе и домашними проблемами есть известное сходство, так что, при правильном подходе, вы можете убить двух зайцев сразу.??	. 25 апреля.  Воспоминания - штука, безусловно, приятная, однако гораздо больше пользы и удовольствия можно получить, если смотреть вперед.??	. 25 апреля.  Потребности семейства выйдут сегодня на первый план. Однако, как ни странно, это нисколько не помешает вам работать, а скорее подхлестнет ваш трудовой энтузиазм.??	. 25 апреля.  Сегодня вам следует быть осмотрительным. Велика опасность наделать глупых ошибок, отвечать за которые придется как за что-то серьезное.??	. 25 апреля.  Сегодня вам будет довольно трудно найти выход для своей энергии. Просто ее будет очень много, и утилизировать всю не удастся.??	. 25 апреля.  Сегодня конфронтация вполне может уступить сотрудничеству. Нужно только сделать первый шаг.??	. 25 апреля. Сегодня вам будет сопутствовать удача, особенно явно вы будете ощущать ее проявление во вроде бы малозначимых, но приятных мелочах. Своим энтузиазмом вы способны будете заразить довольно большое число людей, если же вам удастся заодно и направить их усилия в одно конкретное русло, вы сделаете большое дело.??	. 25 апреля.  Сегодняшний день удивительно хорош для того, чтобы свить уютное гнездышко с любимым человеком. Если же это - как раз последнее, чего вы хотите, постарайтесь, чтобы он об этом не узнал.@moygoroskop ??	25.04.2020
. 26 апреля.   Сегодня вам предстоит общение с неким человеком, который будет вызывать скорее раздражение, чем желание с ним разговаривать. Не спешите избавиться от него - в самом ближайшем будущем он очень и очень пригодится.??	. 26 апреля.  Сегодня у вас еще будет время взять обратно нечаянно вылетевшие слова. Подумайте хорошенько, не обидели ли вы кого за последнее время, и, если вспомните, не тяните с извинениями. Потом восстановить добрые отношения будет куда сложнее.??	. 26 апреля.  Не пытайтесь сегодня вмешиваться в чьи-либо дела. Ваше желание помочь оценено не будет.??	. 26 апреля.    Сегодня от вас может потребоваться немедленная реакция и готовность помочь, ни минуты не раздумывая, насколько это помешает вашим собственным делам. Наверстаете после.??	. 26 апреля.  Вы заслужили поощрение, однако, как известно, сам себя не похвалишь - никто не похвалит. Сделайте себе подарок сами.??	. 26 апреля.   Сегодня у вас появятся большие проблемы при общении с окружающими. Постарайтесь не опуститься до оскорблений и рукоприкладства. Злиться вредно.??	. 26 апреля.   Развлекитесь сегодня сами и развлеките членов вашей семьи. Порешайте хором кроссворд, что ли, если, конечно, совместная уборка квартиры не принесет большего удовольствия.??	. 26 апреля.   Сегодня находиться в непосредственной близости от вашей особы будет до крайности тяжело. Тем немногим, которые выдержат это испытание, придется проявить немалое терпение. Зато вы сможете узнать, кому из близких вы наиболее дороги.??	. 26 апреля.  Обмен информацией и идеями с другими людьми всегда был важен, однако сегодня он жизненно необходим. Постарайтесь, чтобы сегодня вас было легко найти.??	. 26 апреля.   Сегодня вы, наконец, увидите свет в конце тоннеля. Только вот захотите ли вылезать из теплого и относительно безопасного, хоть и темного места???	. 26 апреля.  Вы опять заболеете альтруизмом, филантропией и прочей гуманистической холерой. И откуда только у вас силы берутся???	. 26 апреля.   Окружите себя людьми, которые будут в состоянии привести вас хорошее настроение. Сами вы с этой задачей справиться будете не в состоянии.@moygoroskop ??	25.04.2020
". 27 апреля. ?Овнам порой хочется поднять глаза к небу и спросить...:""Ты издеваешься надо мной?!""?? "	. 27 апреля. ?Тельцы, научитесь обижаться на людей, а то вы слишком быстро всех прощаете, а потом наступаете на те же грабли.??	. 27 апреля. ?Близнецов ждет приятная неожиданность. Давно пора, эти очаровашки заслуживают гораздо большего!?? Рак. 27 апреля. ?Как мало 	у для счастья надо — немного ласки, пары слов, Простого любящего взгляда и на ночь фразы «Сладких снов»…??	. 27 апреля. ?Человек который отказался от вас или сделал вам больно будет офигевать от чувства вины и от чувства того какой же он все-таки лох что так поступил. И это хорошо. Но вам уже по фиг, у вас свои дела.??	. 27 апреля. ?В мире много хороших людей, но Девы всегда общаются с чокнутыми, с ними интересней..??Весы. 27 апреля. ?	, вам надо начать всё с белого листа..??Скорпион. 27 апреля. ?	ы, запомните. Человек, которому вы на самом деле нужны, никогда вас не отпустит. и не важно, насколько тяжела ситуация.??	. 27 апреля. ?Счастье для Стрельца — это много путешествовать, вкусно есть и спать с любимым человеком..??	. 27 апреля. ?Не смотря на то, что у всех слюни на вас текут - ваше сердце принадлежит одному человеку!??	. 27 апреля. ?Водолеям порой очень хочется обнять человека, вместо того, чтобы писать ему сообщения в интернете.??Рыбы. 27 апреля. ?	 — май станет для Вас месяцем любви и дикой необузданной страсти, которая бешеным цунами накроет Вас с головой.. Это будет офигительный месяц!))@moygoroskop ??	27.04.2020
. 28 апреля. ?Отказавшись от Овна однажды, больше не смейте лезть в Его жизнь никогда..??	". 28 апреля. ?Прежде чем осуждать Тельца, возьмите Его обувь и пройдите Его путь, попробуйте Его слезы, почувствуйте Его боль, наткнитесь на каждый камень, о который Он споткнулся. И только после этого говорите, что Вы знаете, как правильно жить.??Близнецы. 28 апреля. ?Как говорят ""Cлучайных встреч не бывает... Это или испытание... или наказание… или подарок судьбы... "	 испытание и наказание уже у вас было Теперь вас ждет подарок судьбы..??Рак. 28 апреля. ?Да, хоть 	и порою и вспыльчивы, но они не умеют долго обижаться.. Особенно на тех, кого любят.. Ну, вот такие они..))??	. 28 апреля. ?В голове у Льва каша, и не ясно что дальше, вроде всё нормально, но уже не так как раньше..??	. 28 апреля. ?Дев уже достали все эти глупые переписки в контакте и любовь на расстоянии.. Девы хотят реального общения.. Девы хотят реальных чувств..??Весы. 28 апреля. ?	 не могут полюбить никого другого, если в их сердце уже кто-то живет.. Вот такие они.. Ничего не поделаешь..??Скорпион. 28 апреля. ?Когда-то в детстве 	у говорили, что он очень милый, хороший и добрый ребенок.. Сглазили, сволочи..??	. 28 апреля. ?Стрельцы у вас теперь все будет хорошо?? Козерог. 28 апреля. ?	и, наверное, старомодны — они ценят в людях их истинную душу, а не толщину кошелька и дешевые понты..??	. 28 апреля. ?Водолеи привыкли не показывать эмоции. на лице улыбка, а внутри все рвется.??	. 28 апреля. ?Кто-то однажды сказал, что время лечит. Время не лечит. Рыб лечит тот, кто обнимает их с каждым разом всё крепче.@moygoroskop ??	28.04.2020
. 29 апреля. ?Овны ребята не злые, но, если Их спровоцировать, то БЕГИТЕ ГЛУПЦЫ, БЕГИТЕ!!! ИБО ПОЩАДЫ НЕ БУДЕТ НИКОМУ!!!??Телец . 29 апреля. ?	 очень требователен и строг в выборе друзей.. Он не дружит абы с кем и за километр обходит лгунов и предателей.. Поэтому друзья у Тельца — ЛУЧШИЕ!??	. 29 апреля. ?Те, кому с Близнецом трудно, и те, кто осуждает Его - не мучьте себя.. Отдалитесь и никогда больше не трогайте Близнеца..??Рак. 29 апреля. ?	и — Вас ждет предложение от которого Вы не сможете отказаться! Ваша жизнь никогда больше не станет прежней. Вы счастливчики. :)??Лев. 29 апреля. ?Самое главное для Льва, чтобы любимые были рядом и дарили Ему свою любовь и поддержку.. Когда 	 чувствует, что ЕГО ЛЮБЯТ, то ему любое море по-колено!??	. 29 апреля. ?Человек, который не умеет держать слово, никогда не сумеет удержать Дев.. Дев бесят вруны..??Весы. 29 апреля. ?Весы не хотят ни работать, ни учиться — 	 хотят пятницу, выходные и винишка..??Скорпион. 29 апреля. ?Хотите нормальных отношений со 	ом — НЕ ВРИТЕ! Просто не врите.. НИКОГДА!!!??	. 29 апреля. ?Стрельцы и верность - это слова синонимы. Когда Стрельцы любят, то верны только одному человеку. На остальных Им даже смотреть противно.??Козерог. 29 апреля. ?Козероги не любят, когда люди начинают всю усложнять и строить из себя непонятно что.. 	и любят, когда просто, понятно, душевно и взаимно..??	. 29 апреля. ? Водолея ждут большие перемены, Останутся в прошлом все проблемы! А впереди лишь позитив и счастье! И это счастье будет очень частым!?? Рыбы. 29 апреля. ?	 просто хотят быть любимыми, Чтоб Их ценили, понимали, обожали, И чтоб ЛЮБОВЬ была красивою и сильною! И чтоб внутри сгорели все печали.@moygoroskop ??	29.04.2020
. 30 апреля. ?Овны, очень скоро ваша мечта осуществится..бьт??	. 30 апреля. ?Тельцы уже не скучают по прошлому, они боятся потерять настоящее!??Близнецы. 30 апреля. ?	, сегодня в вашей жизни случиться что-то хорошее! Это будет самый лучший день в вашей жизни!??Рак. 30 апреля. ?	и, очень скоро ваша мечта осуществится..??	. 30 апреля. ?Вас ждет такое счастье! Такого вы даже представить не можете!??	. 30 апреля. ?У Дев есть человек, которого нет рядом, но он очень дорог. И какая-то часть их всегда будет принадлежать только ему.??Весы. 30 апреля. ?Да, пусть 	 такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..??Скорпион. 30 апреля. ?А 	ы будут счастливы, всем вам назло...?? 	. 30 апреля. ?Стрельцов ждет сумасшедшая любовь!??Козерог. 30 апреля. ?Да, пусть 	и такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..??	. 30 апреля. ?Водолеи ревнуют - тихо, обижаются - молча, целуются - нежно, обнимаются - сильно, любят - всей душой!??Рыбы. 30 апреля. ?	 живут для тех, кому нужны, дружат лишь с теми, в ком уверены, общаются с теми, кто приятен, и благодарны всем, кто ценит!@moygoroskop ??	30.04.2020
. 1 мая. ?Овны — сегодня будет просто невероятный день.. Это будет самый лучший месяц в Вашей жизни.. С этого дня очень многое в Вашей жизни изменится..??	. 1 мая. ?Тельцы — сегодня вечером кто-то Вам напишет и предложит что-то такое от чего Вы не сможете отказаться.. Ммммммм, Тельцы..))??Близнецы. 1 мая. ?	 — как раньше уже не будет.. Май станет для Вас стартом больших перемен, которые начнутся уже с завтрашнего дня..??Рак. 1 мая. ?	и — человек от которого Вы без ума, сделает для Вас кое-что приятное и заставит Ваше сердце биться чаще..??	. 1 мая. ?Львы — Вы заслужили на счастье.. Оно уже не за горами.. Уже совсем скоро, Львы..??Дева. 1 мая. ?Люди, если хотите, чтобы сегодняшний день был волшебным и незабываемым — проведите Его с 	ми.. Девы принесут Вам удачу..??	. 1 мая. ?Весам плевать на то, кто и что о Них подумает.. Самое главное, что рядом с Ними всегда есть люди, которые всегда их выслушают, поймут, поддержат и согреют своим душевным теплом..??Скорпион. 1 мая. ?	ы — иногда так бывает, что люди уходят.. Но, не переживайте — от Вас уйдут только те, кто Вам не нужен.. Те, кто тянет из Вас энергию, портит Вам настроение и говорят у Вас за спиной.. Вы будете рады такой потере..))??	. 1 мая. ?Стрельцы — в конечном итоге все будет по-Вашему. Поэтому не волнуйтесь, а просто чуть-чуть подождите..))??Козерог. 1 мая. ?	и — это будет очень насыщенная неделя.. Вас ждут куча интересных приключений, новостей, дел, знакомств и.. бухлишка..??	. 1 мая. ?Водолеи — с минуты на минуту с Вами случится что-то очень позитивное.. И случится очень внезапно!!!??Рыбы. 1 мая. ?	 — это будет сказочная неделя.. Все Ваши проблемы, которые вот уже долгие месяцы не давали Вам покоя — разрулятся сами собой..@moygoroskop ??	01.05.2020
 ведется на душевное тепло, любовь и доброту..??	. 2 мая. ?У Тельцов нет времени следить за чужой жизнью.. Они за своей иногда не успевают..??	. 2 мая. ?Близнец любит за душу и за честность, За красоту души и позитив! Он верит в ту любовь, что длится вечность! И ценит всех, кто откровенен и правдив!??Рак. 2 мая. ?О, как же Рака бесят те, кто учит Его жизни, хотя сами в этой жизни вообще ни фига не добились.. 	 никогда не понимал таких людей..??	. 2 мая. ?Львам уже всё ясно с прошедшим а апрелем.. И с маем тоже.. Львы уже хотят лето — ласковое, солнечное, счастливое..?? 	. 2 мая. ?У Дев страшная аллергия. И похоже, что возбудители этой аллергии — это учеба и работа. Эти аллергены нужно срочно устранить и пройти небольшой курс лечения винишком, общением с друзьями и шашлычками.?? Весы. 2 мая. ?	, словно от огня бегут от тех людей, которые лгут и предают. И, если Вы один из таких людей, то у Вас нет ни малейшего шанса на какие-бы то ни было отношения с Весами..?? Скорпион. 2 мая. ?Скорпиону не нужны красивые слова, обещания и прочая чушь.. Скорпиону нужны понимание, душевное тепло, ласка и нежность.. 	у нужен такой человек, который понимал бы Его и без слов..?? Стрелец. 2 мая. ?Да, Стрелец ревнивый и не боится в этом признаться. Потому что 	 не умеет иначе. Ведь когда любишь ПО-НАСТОЯЩЕМУ, то невозможно не ревновать!!!?? Козерог. 2 мая. ?	ов заменить никем нельзя, Они одни такие искренние, честные. Их нужно обожать, любить всегда, С Ними тепло, прикольно, интересно!?? 	. 2 мая. ?Для того, чтобы поднять настроение Водолеям нужно совсем не много — несколько бокальчиков вина, расслабляющий массаж, выходные и пару тысяч баксов. :)?? Рыбы. 2 мая. ?	 — кто-то сделает для Вас что-то безумно приятное! Это будет волшебно и Вы захотите еще! :)@moygoroskop ??	02.05.2020
. 3 маяВ этот день увеличится доля ложной информации, которую будет непросто распознать, и, руководствуясь которой, вы рискуете наделать ошибок.?? 	. 3 маяТельцу захочется получить вознаграждение за свой труд, а шеф упорно не замечает вашей персоны. Не нужно действовать намеками и, тем более, смущаться.?? 	. 3 маяДень символизирует переоценку ценностей. Состоявшиеся люди, сумевшие понять суть работы и смысл своего существования, определенно добьются больших успехов.?? 	. 3 маяОтличный денек для прогулки по магазинам, качественные вещи по прекрасной цене сами будут идти к вам в руки.?? 	. 3 маяНаметьте приоритеты и правильно распределите свое время. В данный день не следует давать и брать деньги взаймы, особенно если речь идет о финансовых взаиморасчетах с друзьями.?? Дева. 3 мая	 приятно удивит не только коллег, но и начальство. Оказывается, у вас столько нераскрывшихся талантов, что со счета собьешься.?? 	. 3 маяВ этот и в ближайшие дни не стоит отправляться в путешествие. Это предприятие доставит не столько удовольствие, сколько проблемы.?? Скорпион. 3 мая	ы будут вызывать неподдельный интерес у противоположного пола, воспользуйтесь этим правильно.??	. 3 маяВ решении любых вопросов действуйте не спеша, не привлекая к своим делам излишнего постороннего внимания. В этом случае вам никто не сможет помешать реализовать свои намерения.?? Козерог. 3 мая	у ничего не придется планировать, чтобы выполнить работу качественно и в срок. Ситуация сложится так, что вам не только помогут, но и заплатят за проект высокую сумму.?? 	. 3 маяВ любви не прекращается поиск идеала. Есть большая вероятность, что любовные отношения будут укрепляться еще и крепчайшими узами истинной дружбы.?? Рыбы. 3 маяРыбы, если захочется сойти с ума, сходите на здоровье, только подберите себе компанию искренних людей. 	 не должны принимать предложений от противоположного пола.@moygoroskop ??	03.05.2020
. 4 мая. ?Овнов обижать не надо... У них разгон от милой зайки до жуткой стервы 1,5 секунды??	". 4 мая. ?Тельцам так надоело терять людей!; Им нужен тот, кто придет в их жизнь и скажет: 'Хочешь, не хочешь, а я остаюсь''??Близнецы. 4 мая. ?"	 попробуйте не любить никого, и вы будете нравиться всем. Посылайте к чёрту всех, и вами будут восхищаться. Всё просто - люди не ценят хорошего отношения.??Рак. 4 мая. ?	и это у вас не черная полоса, а взлетная.??	". 4 мая. ?Девиз Львов по жизни: ""пипец конечно, но погнали""??"	. 4 мая. ?Слишком сильные, слишком вредные, слишком гордые. Если кто искал такую проблему на свою голову, обращайтесь. Девы еще готовить умеют.??Весы. 4 мая. ?Да, пусть 	 такие мозговыносящие, ревнивые, вредные, капризные.. Зато они действительно умеют любить,как никто другой..??Скорпион. 4 мая. ?А 	ы будут счастливы, всем вам назло...??	. 4 мая. ?Стрельцов нельзя заменить! Никем и никогда!??	. 4 мая. ?Не смотря на то, что у всех слюни на вас текут - ваше сердце принадлежит одному человеку!??	. 4 мая. ?Водолеев ждут долгие отношения??	. 4 мая. ?В попу эту любовь, короче.@moygoroskop ??	04.05.2020
. 5 мая. ?Овны — Вы понимаете друг друга с полуслова. Вы отличная пара!??	. 5 мая. ?Тельцы — Вас ждет офигительное свидание с классным человеком! Вы сведете с ума друг друга!??	". 5 мая. ?У Близнецов очень сильно меняется характер. Их уже не тянет к людям, без которых они когда-то не представлял свою жизнь. Их раздражают многие их ""бывшие"" друзья. Им не интересно общаться с теми, кого они считал интересными людьми раньше. Их круг общения сузился, и это их радует, потому что они лучше стал разбираться в людях и понимать, кто родной, а кто послан для опыта.??Рак. 5 мая. ?"	и хотят, чтобы кто-то взял их с собой на шашлыки..??	. 5 мая. ?Львы в вас кто-то сильно влюбился, но этот человек боится признаться в своих чувствах! Вам он тоже, безумно нравится.??	. 5 мая. ?Девы — Ваш оптимизм, чувство юмора и улыбка принесут Вам успех!??Весы. 5 мая. ?	 — в дружбе и любви у Вас все будет ровно, гладко и четко! А финансовые дела, так вообще попрут в гору!??Скорпион. 5 мая. ?	ы — сегодня возможно все что угодно.. Все зависит от Ваших мыслей.. Старайтесь думать исключительно о хорошем..??	. 5 мая. ?Стрельцы — кто-то подарит Вам неземное удовольствие.. Вы будете на 10-м небе от счастья.??	. 5 мая. ?Вы просто идеально созданы друг для друга! Счастливое будущее Вам обеспечено!??	. 5 мая. ?Водолеи просто хотят, чтобы люди рядом с Ними были чуточку искренней, честнее и открытей..??Рыбы. 5 мая. ?Рыб очень бесит то, что большинство людей интересует лишь внешность и статус в обществе.. Как бы это банально не звучало, но 	 хотят, чтобы Их любили за душу и внутренний мир..@moygoroskop ??	05.05.2020
. 6 мая. ?Блин, Овны.. Не грустите.. Вам срочно нужны душевное тепло, крепкие объятья и немножко вискарика для дезинфекции сердечных ран..??	. 6 мая. ?Тельцы – не переживайте, у Вас все получится, Вы быстро порешаете все свои дела, а вечером Вас ожидает отдых с близкими людьми и маааааленький сюрпризик от очень приятного Вам лица противоположного пола..??Близнецы. 6 мая. ?	 — люди приходят и уходят, не привязывайтесь ко всем подряд. Главное смотреть, кто остается.. А остаются обычно единицы, но эти единицы — это действительно те, кто по-настоящему Вас любит и дорожит Вами..??Рак. 6 мая. ?	и — кто-то Вас ревнует, пипец как ревнует, прям головой об стену бъеться.. и правильно делает..??	. 6 мая. ?Будьте проще со Львами, и Львы к Вам потянутся. Львы не любят зацикленных на себе людей. Если хотите дружить со Львами, то просто будьте собой — добрым и искренним, а не тупым ублюдком на понтах..??	. 6 мая. ?Девы хотят, чтобы кто-то их крепко-крепко обнял, прижал к себе и никогда не отпускал..??	. 6 мая. ?Вы слишком сильно привязываетесь к людям.. Это Ваша большая ошибка, ведь не все люди этого достойны..??Скорпион. 6 мая. ?Сегодня офигенно классный день для того, чтобы открыто признаться Скорпионам в своих чувствах.. Поэтому, если Вы любите 	ов или хотели бы иметь с ними теплые отношения — не тупите..??	. 6 мая. ?Если ты сейчас читаешь этот пост на стенке Стрельца, знай — он сейчас очень нуждается в твоем внимании, душевном тепле и любви.. Напиши Стрельцу, что-нибудь приятное, вытяни его на чашечку кофе или просто погулять.. Он очень ждет этого..??Козерог. 6 мая. ?	и — сегодня Вам срочно, как никогда нужны крепкие и теплые объятья.. Вечером ждите приятный сюрприз от очень приятного Вам человека.. Вы очень удивитесь..??	. 6 мая. ?У Водолеев обострение, они словно сойдут с ума и будут искать жертву, для того, чтобы совершить ВЛЮБИЙСТВО!))??	. 6 мая. ?У Рыб на лице улыбка, они всегда вежливы, красивы, привлекательны и общительны, но никто никогда не узнает, что же на самом деле у них на душе.. Никто.. Разве что оооооочень близкий и родной человек.. Ооооочень близкий.. Ооооооочень родной..@moygoroskop ??	06.05.2020
. 7 мая. ?Овнам очень часто хочется иметь каменное сердце и быть бесчувственной скотиной. Не чувствовать ничего - ни любви, ни разочарования, ни привязанности. Так намного легче.??	. 7 мая. ?Довести Тельцов до слез, наверное, каждому по силам. А сделать так, чтобы от радости глаза сияли, могут лишь единицы.??Близнецы. 7 мая. ?	 живите для тех, кому нужны. Дружите с теми, в ком уверены. Общайтесь с теми, кто приятен. И благодарите тех, кто ценит.??Рак. 7 мая. ?	и Осторожно! Двери прошлого закрываются! Следующая остановка... «Счастливая жизнь»!??	. 7 мая. ?Даже железному терпению Львов, приходит конец. И даже самые сильные их чувства умирают от вранья и безразличия.??	. 7 мая. ?Девы, никогда ни о чем не жалейте, потому что в определенный момент это было именно то, что вы хотели.??	. 7 мая. ?Цветы… Конфеты… Кино… Рестораны… — это не счастье, поверьте… Счастье — это просто прижаться к тому, кто очень дорог и кого ты любишь??Скорпион. 7 мая. ?	ы всегда рискуйте в пользу будущего. Каким бы заманчивым не было прошлое, не возвращайтесь в него. Пошло оно на фиг.??	. 7 мая. ?Люди, умейте признаваться Стрельцам, что вы соскучились, иногда это действительно важно…??Козерог. 7 мая. ?	и, если вы не верите в чудо, то это вы зря. В себя нужно верить!?? 	. 7 мая. ?Водолеи молча делают выводы и постепенно отдаляются.??Рыбы. 7 мая. ?	, вам нужно просто подождать. Для некоторых событий ещё не наступило время.@moygoroskop ??	07.05.2020
